,title,link
218,Darkroom timer from the studio of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-7995C78939762_4001
219,Film box from the studio of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-EF4E08E5A3052_4001-000002
220,Film and plate developing hanger from the studio of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-BD21733D72422_4001-000002
221,Light meter from the studio of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-2E21AD4D93732_4001-000002
222,Light reflector from the studio of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-D03A8128C2F02_4001
223,"Tea bowl, named ""Omokage"" (Memory), unknown Raku ware workshop",https://ids.si.edu/ids/deliveryService?max_w=550&id=FS-F1898.443_001
224,Church Queen ticket from the home of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-6AE2CAC35EE72_2001
225,Camera stand for NOBA camera from the studio of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-4CA431B7304E2_5001
226,Madame Lecompte,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-2003-24575
227,Thomas Rector,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-2003-24795-000001
228,Andrew Jackson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_79_57Jackson-000001
229,Ohi ware shallow tea bowl,https://ids.si.edu/ids/deliveryService?max_w=550&id=FS-F1897.61_002
230,Where's My Thunder,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_84_223
